station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
GOS;19.12.1995 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;20.12.1995 00:00;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;
GOS;21.12.1995 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
GOS;22.12.1995 00:00;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;
GOS;23.12.1995 00:00;;;;;;;;;;;;;;;;;;;;;2.1;;;;;;;;;;;;;;
GOS;24.12.1995 00:00;;;;;;;;;;;;;;;;;;;;;5.1;;;;;;;;;;;;;;
GOS;25.12.1995 00:00;;;;;;;;;;;;;;;;;;;;;22.3;;;;;;;;;;;;;;
GOS;26.12.1995 00:00;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;
GOS;27.12.1995 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
GOS;28.12.1995 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;29.12.1995 00:00;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;
GOS;30.12.1995 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;31.12.1995 00:00;;;;;;;;;;;;;;;;;;;;;23.3;;;;;;;;;;;;;;
GOS;01.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;02.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;03.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;04.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;05.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;06.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;07.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;1.3;;;;;;;;;;;;;;
GOS;08.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;09.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;10.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;11.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;6.4;;;;;;;;;;;;;;
GOS;12.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
GOS;13.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;14.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;15.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;16.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;17.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;18.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;19.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;20.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;21.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;22.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;23.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;24.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;25.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;26.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;27.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;28.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;29.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;30.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;31.01.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;01.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;02.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;03.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.9;;;;;;;;;;;;;;
GOS;04.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;2.4;;;;;;;;;;;;;;
GOS;05.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;
GOS;06.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;07.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;
GOS;08.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;8.8;;;;;;;;;;;;;;
GOS;09.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;10.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;11.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;12.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
GOS;13.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;10.7;;;;;;;;;;;;;;
GOS;14.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;
GOS;15.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;16.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;4.2;;;;;;;;;;;;;;
GOS;17.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;8.9;;;;;;;;;;;;;;
GOS;18.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;
GOS;19.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;3.6;;;;;;;;;;;;;;
GOS;20.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;4.4;;;;;;;;;;;;;;
GOS;21.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;4.2;;;;;;;;;;;;;;
GOS;22.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;2.5;;;;;;;;;;;;;;
GOS;23.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;2.6;;;;;;;;;;;;;;
GOS;24.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;25.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;26.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;27.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;28.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;29.02.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;01.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;2.2;;;;;;;;;;;;;;
GOS;02.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;;;;
GOS;03.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;04.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;05.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;06.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;07.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;08.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;09.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;10.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;11.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
GOS;12.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;2.6;;;;;;;;;;;;;;
GOS;13.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;14.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;15.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;16.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;3.1;;;;;;;;;;;;;;
GOS;17.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;18.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;19.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;20.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;21.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;23.5;;;;;;;;;;;;;;
GOS;22.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;13.1;;;;;;;;;;;;;;
GOS;23.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;24.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;25.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;26.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;11.7;;;;;;;;;;;;;;
GOS;27.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;7.1;;;;;;;;;;;;;;
GOS;28.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
GOS;29.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;
GOS;30.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
GOS;31.03.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;01.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
GOS;02.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;
GOS;03.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;3.5;;;;;;;;;;;;;;
GOS;04.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;05.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;06.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;07.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;08.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
GOS;09.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;10.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;11.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;11.4;;;;;;;;;;;;;;
GOS;12.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;5.2;;;;;;;;;;;;;;
GOS;13.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;
GOS;14.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;15.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;16.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;17.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
GOS;18.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;19.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;20.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;21.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;22.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;23.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;1.7;;;;;;;;;;;;;;
GOS;24.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
GOS;25.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
GOS;26.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;27.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;28.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;29.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;30.04.1996 00:00;;;;;;;;;;;;;;;;;;;;;2.7;;;;;;;;;;;;;;
GOS;01.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;29.7;;;;;;;;;;;;;;
GOS;02.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;71.8;;;;;;;;;;;;;;
GOS;03.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;10.6;;;;;;;;;;;;;;
GOS;04.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;05.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;06.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;07.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;08.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;9.5;;;;;;;;;;;;;;
GOS;09.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;5.3;;;;;;;;;;;;;;
GOS;10.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
GOS;11.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
GOS;12.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;10.1;;;;;;;;;;;;;;
GOS;13.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;14.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
GOS;15.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;16.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;17.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;8.7;;;;;;;;;;;;;;
GOS;18.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;33.1;;;;;;;;;;;;;;
GOS;19.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;90.1;;;;;;;;;;;;;;
GOS;20.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;4.6;;;;;;;;;;;;;;
GOS;21.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;6.7;;;;;;;;;;;;;;
GOS;22.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;23.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;;;;
GOS;24.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;2.3;;;;;;;;;;;;;;
GOS;25.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;5.5;;;;;;;;;;;;;;
GOS;26.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
GOS;27.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;20.6;;;;;;;;;;;;;;
GOS;28.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;
GOS;29.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;30.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;31.05.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;01.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;02.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;2.6;;;;;;;;;;;;;;
GOS;03.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;2.8;;;;;;;;;;;;;;
GOS;04.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;05.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;06.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;07.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;08.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;09.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;10.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;11.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;12.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;2.5;;;;;;;;;;;;;;
GOS;13.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;14.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;15.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;16.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;17.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;18.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;19.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;20.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;21.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;16.5;;;;;;;;;;;;;;
GOS;22.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;5.2;;;;;;;;;;;;;;
GOS;23.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;1.9;;;;;;;;;;;;;;
GOS;24.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;25.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;
GOS;26.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.9;;;;;;;;;;;;;;
GOS;27.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;28.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;29.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;
GOS;30.06.1996 00:00;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
GOS;01.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;9.2;;;;;;;;;;;;;;
GOS;02.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;4.1;;;;;;;;;;;;;;
GOS;03.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;04.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.8;;;;;;;;;;;;;;
GOS;05.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;13.1;;;;;;;;;;;;;;
GOS;06.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;5.2;;;;;;;;;;;;;;
GOS;07.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;43.3;;;;;;;;;;;;;;
GOS;08.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;9.9;;;;;;;;;;;;;;
GOS;09.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
GOS;10.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;6.2;;;;;;;;;;;;;;
GOS;11.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;12.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;3.2;;;;;;;;;;;;;;
GOS;13.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;14.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;15.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;16.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;17.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;18.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;19.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;20.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;21.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;22.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;23.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;22.9;;;;;;;;;;;;;;
GOS;24.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;25.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;26.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;27.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;28.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;6.5;;;;;;;;;;;;;;
GOS;29.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;30.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;9.2;;;;;;;;;;;;;;
GOS;31.07.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;01.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;10.8;;;;;;;;;;;;;;
GOS;02.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;15.3;;;;;;;;;;;;;;
GOS;03.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;
GOS;04.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;05.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;06.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;07.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;10.8;;;;;;;;;;;;;;
GOS;08.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;09.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;10.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;20.2;;;;;;;;;;;;;;
GOS;11.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;
GOS;12.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;4.2;;;;;;;;;;;;;;
GOS;13.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
GOS;14.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;2.2;;;;;;;;;;;;;;
GOS;15.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
GOS;16.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;17.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;18.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;19.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;2.6;;;;;;;;;;;;;;
GOS;20.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
GOS;21.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;5.6;;;;;;;;;;;;;;
GOS;22.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;23.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;6.8;;;;;;;;;;;;;;
GOS;24.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;11.8;;;;;;;;;;;;;;
GOS;25.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
GOS;26.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;
GOS;27.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;18.2;;;;;;;;;;;;;;
GOS;28.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
GOS;29.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;1.9;;;;;;;;;;;;;;
GOS;30.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
GOS;31.08.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
GOS;01.09.1996 00:00;;;;;;;;;;;;;;;;;;;;;3.2;;;;;;;;;;;;;;
GOS;02.09.1996 00:00;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
GOS;03.09.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;04.09.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;05.09.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;06.09.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;07.09.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;08.09.1996 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
